experimento,T,amostra,d_emb,d_k,d_out,diversidade_heads,entropia_norm,escala,head_dim,heads,modelo,parametros,peso_max,soma_pesos_futuros,tipo,vazamento_max_dif
1_escala,,,,8,,,0.6927,sem escala,,,,,0.4283,,,
1_escala,,,,8,,,0.9027,com escala,,,,,0.2631,,,
1_escala,,,,64,,,0.2169,sem escala,,,,,0.7954,,,
1_escala,,,,64,,,0.9226,com escala,,,,,0.2635,,,
1_escala,,,,256,,,0.137,sem escala,,,,,0.9097,,,
1_escala,,,,256,,,0.9405,com escala,,,,,0.2347,,,
1_escala,,,,768,,,0.123,sem escala,,,,,0.9005,,,
1_escala,,,,768,,,0.931,com escala,,,,,0.2532,,,
2_mascara,,,,,,,,,,,Self-Attention,,,3.355,,5.880205
2_mascara,,,,,,,,,,,Causal Attention,,,0.0,,0.0
3_num_heads,,,,,,0.0,0.9191,,256,1,,262400,0.3739,,,
3_num_heads,,,,,,0.0665,0.9042,,128,2,,262400,0.42,,,
3_num_heads,,,,,,0.0554,0.9251,,64,4,,262400,0.3885,,,
3_num_heads,,,,,,0.0591,0.9202,,32,8,,262400,0.3936,,,
4_head_dim,,,,,32,,0.9001,,8,,,25632,0.4192,,,
4_head_dim,,,,,64,,0.8855,,16,,,53312,0.419,,,
4_head_dim,,,,,128,,0.9102,,32,,,114816,0.4101,,,
4_head_dim,,,,,256,,0.9251,,64,,,262400,0.3885,,,
5_dim_embedding,,,16,,,,0.8892,,4,,,1040,0.426,,,
5_dim_embedding,,,64,,,,0.8747,,16,,,16448,0.4331,,,
5_dim_embedding,,,256,,,,0.9251,,64,,,262400,0.3885,,,
5_dim_embedding,,,768,,,,0.9107,,192,,,2360064,0.3954,,,
6_comparacao,,,,,,,0.9226,,,,Self-Attention,12288,0.2635,,,
6_comparacao,,,,,,,0.9083,,,,Causal Attention,12288,0.387,,,
6_comparacao,,,,,,,0.8747,,,,Multi-Head (4 heads),16448,0.4331,,,
7_sequencias,8,0,,,,,0.8747,,,,,,0.4331,,trecho,
7_sequencias,8,10,,,,,0.9067,,,,,,0.4132,,trecho,
7_sequencias,8,50,,,,,0.8695,,,,,,0.4329,,trecho,
7_sequencias,4,0,,,,,0.8315,,,,,,0.5983,,tamanho,
7_sequencias,8,0,,,,,0.8747,,,,,,0.4331,,tamanho,
7_sequencias,16,0,,,,,0.8992,,,,,,0.3122,,tamanho,
7_sequencias,32,0,,,,,0.9085,,,,,,0.2239,,tamanho,
